name,description,unit_price,category,allergens
The Aperol Affair,"A glowing sunset-hued blend that brings the warmth of an Italian summer evening to life in each sip.  This refreshing cocktail is made with Aperol, sparkling wine (prosecco), and soda water, garnished with an orange slice; it offers a bittersweet orange profile with a gentle effervescence (around 11–12% ABV).",500,Cocktails,Allergens: Alcohol
White Sangria Special,"Imagine a sunlit orchard captured in a glass, with peach and apple notes dancing amidst citrus blossoms.  This white sangria uses a crisp white wine base (often sauvignon blanc), muddled peaches, apples, and a splash of soda; it’s lightly sweet and aromatic (about 8–10% ABV).",500,Cocktails,Allergens: Alcohol
Patron Ala Mojito,"A daring fusion of Caribbean tropics and Mexican agave, where cool mint and lime mingle with tequila in a minty whirlwind.  Made with Patron silver tequila, fresh mint leaves, lime juice, sugar, and soda water, this mojito-inspired cocktail is minty-fresh yet agave-forward (around 7–10% ABV).",600,Cocktails,Allergens: Alcohol
Patron De Strawberry,"A romantic strawberry serenade, blending the ripe sweetness of berries with smoky agave warmth, like a sunset in a glass.  This cocktail mixes Patron tequila (silver or reposado) with strawberry liqueur or puree and lime, delivering a sweet-tart berry flavor (roughly 25–30% ABV).",600,Cocktails,"Allergens: Alcohol, Citrus/Fruit (may affect allergies)"
Patron De Chocolate,"A velvety nocturne where rich dark chocolate curls swirl with warm tequila undertones, as decadent as a midnight dessert.  Combining Patron XO Café (or chocolate liqueur) with Patron tequila, this indulgent cocktail offers creamy cocoa notes and a gentle tequila backbone (around 20–25% ABV).",600,Cocktails,Allergens: Alcohol
Xclv Martini,"A sleek, sophisticated martini that glints with twilight colors and hints of mystery.  This martini-style drink is made with premium gin (or vodka) and a whisper of dry vermouth, stirred until icy cold and served with an olive or lemon twist; it’s crisp, aromatic, and elegantly smooth.",350,Cocktails,Allergens: Alcohol
Queens Breath,Queens Breath is a cocktails crafted to delight. Queens Breath delivers a signature drink experience inspired by classic flavors. Typical cocktail characteristics: 8-15% ABV (approx).,300,Cocktails,Allergens: Alcohol
Chivalry,"A noble blend of classic flavors, combining timeless elegance with a daring edge in every glass.  This chivalrous cocktail might include whiskey, aromatic bitters, and citrus peel, creating a smooth amber drink with warm spice and oak notes.",300,Cocktails,Allergens: Alcohol
Juliet Butterfly,"Delicate and whimsical, a romantic pink flutter that captures the essence of a midsummer night’s dream.  Often made with vodka (or rum) and a splash of lychee or berry liqueur, this cocktail is sweet, floral, and light (about 10–15% ABV).",300,Cocktails,"Allergens: Alcohol, Dairy"
White Russian,"A silky velvety concoction reminiscent of a cozy Russian evening, delivering creamy coffee kick and gentle sweetness.  Made with vodka, coffee liqueur (like Kahlúa), and heavy cream, it’s shaken or stirred to a smooth froth, yielding a rich cream-colored drink (~20–25% ABV).",300,Cocktails,Allergens: Alcohol
